Track Name,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Mood_Label,Mental_Health_Benefit,Musical_Features
Jo Tum Mere Ho,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Jo Tum Mere Ho,84,0.46,0.302,1,-12.934,0,0.0398,0.661,0,0.293,0.176,123.871,251813,Sadness,"Mood Upliftment, Emotional Release, Grief Support","Dynamics, Moderate Tempo, Ascending Melody, Major Harmony"
Choo Lo,The Local Train,64,"['hindi indie', 'indian indie', 'indian rock', 'new delhi indie']",Aalas Ka Pedh,72,0.512,0.695,4,-6.349,1,0.0271,0.0265,0.00815,0.146,0.351,145.956,233630,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
Husn,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Husn,78,0.527,0.376,5,-9.974,1,0.0298,0.682,0,0.142,0.24,151.928,217894,Sadness,"Mood Upliftment, Emotional Release, Grief Support","Dynamics, Moderate Tempo, Ascending Melody, Major Harmony"
3:59 AM,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Punya Paap,61,0.669,0.588,2,-6.902,1,0.339,0.177,0,0.179,0.237,97.026,272197,Optimism,"Energy Boost, Increased Motivation, Focus","Moderate Tempo, Consonant Harmony, Balanced Dynamics"
All Black,Raftaar,63,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",All Black,60,0.813,0.734,10,-5.464,0,0.0577,0.072,0,0.118,0.652,107.967,218145,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Khatta Flow,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Lunch Break,61,0.858,0.737,9,-7.077,1,0.266,0.284,0,0.117,0.717,140.055,152415,Grief,"Emotional Release, Grief Support, Coping with Loss","Fast Tempo, Major Harmony, Bright Timbre"
Yaar Naa Miley,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Kick,60,0.663,0.938,0,-2.894,0,0.0335,0.0102,9.01E-06,0.75,0.551,127.988,243206,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
Dhundhala,Yashraj,55,"['desi hip hop', 'hindi hip hop']",Dhundhala,63,0.641,0.449,5,-9.568,0,0.162,0.133,6.39E-05,0.139,0.491,99.899,182400,neutral,neutral,neutral
Riha,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Riha,61,0.395,0.148,3,-11.016,1,0.03,0.896,0,0.114,0.4,142.691,287312,Guilt,"Emotional Release, Reassurance, Self-Compassion","Slow Tempo, Soft Dynamics, Warm Timbre"
Tu Aake Dekhle,King,70,"['desi pop', 'hindi hip hop']",The Carnival,72,0.77,0.838,11,-4.022,1,0.108,0.518,0.00398,0.145,0.187,96.016,270000,Excitement,"Focus, Energy Boost, Motivation","Fast Tempo, Complex Rhythm, Bright Timbre"
