Track URI,Track Name,Artist URI,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Duration (ms),Experimental_Category,Brainwave_Type,Purpose,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
spotify:track:0zPjaADTobUrNEhcm7AIgE,40 Hz Binaural Beats,spotify:artist:3cWwTg52DMlQYJdjqs37yF,Miracle Healing Tones ABL,26,[],40 Hz,34,147705,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:1BuCouboYGuflWmKXVQitn,40 Hz Brain Waves - Binaural Beats,spotify:artist:4mHxEFT1Df66JHVngNRyUx,Binaural Tones,27,[],40 Hz Brain Waves - Binaural Beats,30,189909,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:7KTLZDTOrszIj4oJbLsvBo,Jordan,spotify:artist:7Fe4vD5WyjtFxlxSO0d7lP,Complete,47,['aussie drill'],Death Rattle,53,167060,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:0cs5hF9tyFE8T9OrqCUvHy,Binaural Beats For Studying,spotify:artist:0rV884TJaWtmnJf392FG6e,Binaural Beats Study Music,47,[],"Study Beats: Binaural Beats For Studying, Focus, Concentration, Study Alpha Waves, Theta Waves and Ambient Study Music",36,131178,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:3qLXPfi9yIfO6FwGQitXmM,Declutter Your Mind,spotify:artist:52KhOJouXCkot69qVXfoPJ,Exam Study Music Academy,18,[],"Binaural Beats 40 Hz: Study & Concentration, Focus Mindfulness Meditation, Memory Boost, Gamma Frequencies",21,207957,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:2fcYqiCaNXlHaYSulNACDV,Recharging Yourself,spotify:artist:0Zb4MNazIbt8M8HnAu3V7P,Study Music Guys,19,[],"Binaural Beats 40 Hz: Study & Concentration, Focus Mindfulness Meditation, Memory Boost, Gamma Frequencies",20,195754,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:0MNw11tZf2BzyWXNqwBymp,Tune Yourself for Exam,spotify:artist:0Zb4MNazIbt8M8HnAu3V7P,Study Music Guys,19,[],"Binaural Beats 40 Hz: Study & Concentration, Focus Mindfulness Meditation, Memory Boost, Gamma Frequencies",18,264105,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:3s9EBJwNvoYRic4wqG3blc,Intelligent Student,spotify:artist:3vyj4n7ADocniHDbKVMjZb,Brain Study Music Guys,29,[],"Binaural Beats 40 Hz: Study & Concentration, Focus Mindfulness Meditation, Memory Boost, Gamma Frequencies",23,199120,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:6SkbY9jfHpu87zELwrrsEi,Fresh Ideas,spotify:artist:3vyj4n7ADocniHDbKVMjZb,Brain Study Music Guys,29,[],"Binaural Beats 40 Hz: Study & Concentration, Focus Mindfulness Meditation, Memory Boost, Gamma Frequencies",23,226973,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:3Xu94JRuFVpuLoqH9JR579,Pure Beta Binaural Beat - Increased Concentration,spotify:artist:40Fj46UX9zICwQk10sRrIC,Miracle Tone,21,[],Binaural Beats - Brainwave Symphony,34,311000,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:25A4NHhtbzTEyIeOiGQwOk,Peace of Mind,spotify:artist:52KhOJouXCkot69qVXfoPJ,Exam Study Music Academy,18,[],"Binaural Beats 40 Hz: Study & Concentration, Focus Mindfulness Meditation, Memory Boost, Gamma Frequencies",18,262895,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:4TXwpgbeWTa0H4xsaf5WuK,Endless Knowladge,spotify:artist:0Zb4MNazIbt8M8HnAu3V7P,Study Music Guys,19,[],"Binaural Beats 40 Hz: Study & Concentration, Focus Mindfulness Meditation, Memory Boost, Gamma Frequencies",21,238795,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:03U857f5H97ETAJpT0sIjl,Quiet Waterfall,spotify:artist:0Zb4MNazIbt8M8HnAu3V7P,Study Music Guys,19,[],"Binaural Beats 40 Hz: Study & Concentration, Focus Mindfulness Meditation, Memory Boost, Gamma Frequencies",18,214892,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:7nUYJEs5vT12rc7NowCPMg,40 Hz Studying,spotify:artist:45xuTYWvYAG0UA6nV5GDuF,Elena Convera,42,[],40 Hz Binaural Gamma Sinus,43,90344,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:5fGHdEzFhZJsXxYo3IEXES,Focus and Concentration,spotify:artist:0rV884TJaWtmnJf392FG6e,Binaural Beats Study Music,47,[],"Study Beats: Binaural Beats For Studying, Focus, Concentration, Study Alpha Waves, Theta Waves and Ambient Study Music",25,162601,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:0GMn2Ee93o4SAYuKFMhCn5,Good Idea,spotify:artist:3vyj4n7ADocniHDbKVMjZb,Brain Study Music Guys,29,[],"Binaural Beats 40 Hz: Study & Concentration, Focus Mindfulness Meditation, Memory Boost, Gamma Frequencies",20,245084,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:3AJOT8GwL6IXT0xFicIaA1,Sunrise Journey,spotify:artist:52KhOJouXCkot69qVXfoPJ,Exam Study Music Academy,18,[],"Binaural Beats 40 Hz: Study & Concentration, Focus Mindfulness Meditation, Memory Boost, Gamma Frequencies",19,252303,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:0a4PFNipJK9BmSftOHTewZ,Brain Activation for Memory,spotify:artist:3vyj4n7ADocniHDbKVMjZb,Brain Study Music Guys,29,[],"Binaural Beats 40 Hz: Study & Concentration, Focus Mindfulness Meditation, Memory Boost, Gamma Frequencies",19,253220,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:3hLOMdg4kPBeYp6kMHpQcN,Binaural Beats Focus Music,spotify:artist:0rV884TJaWtmnJf392FG6e,Binaural Beats Study Music,47,[],"Study Beats: Binaural Beats For Studying, Focus, Concentration, Study Alpha Waves, Theta Waves and Ambient Study Music",16,136719,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
spotify:track:3urTYNqBF9sJAv4IQL1q9Y,Binaural Beats Focus,spotify:artist:0rV884TJaWtmnJf392FG6e,Binaural Beats Study Music,47,[],"Binaural Beats Focus: Study Alpha Waves, Isochronic Tones, Theta Waves, Delta Waves and Ambient Music For Studying, Focus, Concentration and Background Music For Reading",30,114105,focus,Beta (13-30Hz),focus,0.1,0.2,5,-12.0,1,0.02,0.8,0.9,0.05,0.4,60.0
