track_id,artist_name,title,lyrics,emotion
TRAAAAK128F9318786,Adelitas Way,Scream,"Light the gasoline
I've got the rememdy
To burn your memories
I don't know if it can
Never be afraid
To live with the lies and pain

You're never going to be the same

I don't know if you can

I want to take it too far

Come on don't be shy

I want to make you go down down



(Chorus)

I can make you scream

How I live my life when I have no choice

I see it in your eyes you're crazy

Just scream

How it feels inside

Let me hear your voice

And make it loud this time it opens up my mind



Tell me what you see

I'm not your enemy

If that's what you want to be

I don't know if I can

When you scream my name

And I take all the blame

It's never going to be the same

I don't know if you care

I want to take it too far come on don't be shy

I want to make you go down down



(Chorus)



When you scream

Maybe you're in denial

t kills me I can see it it's on your face

I can't see

Now we're breaking the silence

When you scream

Let it go and you take it away



(Chorus)



Maybe you're in denial

I can make you scream

I can see it it's on your face

When you scream

Now we're breaking the silence

I can make you scream

Let it go and ou take it away



(Thanks to Hollee for these lyrics)",fear
TRAAAAV128F421A322,Western Addiction,A Poor Recipe For Civic Cohesion,"If patience is virtuous
I got the temperament for temperance
Partitioning stems and seeds
Damn lifeless galleries

I'll implement the elements

You're rolling a sacrament

Slicing sharks and your porcelain pedestals

Somehow it seems so pitiful



Catastrophe

Of the highest order

Was likeness captured?

Feigned composure

A poor recipe for civic cohesion



We'll readily collaborate

Understand and participate

Pieces de resistance



Devastated crops of worth

Someone grant me social graces

Being that I'm socially graceless

Billowed soot have we met

Chromatic leaf, this is icy bayonet



I've been commissioned

To ignore companionship

Fashioning barricades

Amid flesh and wilderness



I'm wedlocked to these rivers and tides

These arrangements are my passionate wives

I'd pass you up for seductive seasons

A poor recipe for civic cohesion



Catastrophe

Of the highest order

Was likeness captured?

Feigned composure",sadness
TRAAAAW128F429D538,Casual,I Didn't Mean To,"[Verse One:]
Alright I might
Have had a little glare when I stared at ya ho
But I didn't know she was like that
She stared right back

My niggas warnin me that she was comin on to me

I react like a mack do I act cool

Just to test her cause I ain't no jester

I suggest her and her friend be outtie

Cause I don't want to make my pals get rowdy

And doubt me our friendship

But when lips touch

I go crazy in the clutch

Sorta like schitzo I forgets my bros and pals over gals

I didn't mean to but when you fiend you do

Strange things for the denim no matter who's in em

Grab a flooze then I'm in traffic

Don't laugh it might be your girl that I'm talkin about

I didn't mean to



[Chorus: x2]



It ain't my fault that your girl got caught

It ain't my fault that your girl got caught (I didn't mean to)



[Verse Two:]



Another incident when I went

Way beyond what I should of done

John should of stopped before them drawers dropped

But I didn't ain't no quittin

Really didn't care who's girl I was hittin

I admit skinz ain't a reason to lose friends

But then again I didn't know, sorry

Accept apologies and live on

Are we goin hold grudges well oh fudge

Its a new year and I do fear

Ya actions ya actin shy

I mean ya need to be smackin

That hoe

Instead of tryin to front on me ya know

Thats exactly how I'm goin to be ya know

I run my game on any G ya know

Cause we the most entertainin

I meant to blame women

For makin me do what the Ak seem to

When you call I screen you

I didn't mean to



[Chorus]





[Verse Three:]



Why do fools be schememin dreamin

Actin like demons

Niggas don't give a fuck

Because they beat shit

To many girls front cute

When they want loot

They tell lies the swell guys

Can peep it and thats weak shit

Thats why I run game on every freak I get

Born in Oakland grew up pumpin Too Short

I know the rules on the flooze so who's short

I once had a ho who smoked blunts yo

She tried to get me so I looked at the front door

And now shes not with me so forget it

But every once in a while I'll hit it

And it happened to be your girl

I didn't mean to and I been through

Your relationship and I hate dumb dips

But I really can't trip when they ride my tip

I didn't mean to



[Chorus]",anger
TRAAAAY128F42A73F0,Alquimia,The Lark In The Clear Air,"dear thoughts are in my mind
and my soul
it Souls Enchanted
as I hear
the Sweet Love sings
in the
clearer of
the day
foreign
[Music]
to say
I will tell him all my love
my Souls pure adoration
and I know
he will hear my voice
and he will not answer
me name
tears this that gives
my soul
[Music]
it's Joy yes
[Music]
[Music]
tears this that gives my soul
[Music]
oh yes
[Music]
I hear
[Music]
sit in the clearance
[Music]
foreign",sadness
TRAAACN128F9355673,Quest_ Pup_ Kevo,Hit Da Scene,"to the window to the wall till the sweat
dropped down my balls till all these
 crawl",fear
TRAAACV128F423E09E,Super Deluxe,Come On (Album Version),"[Music]
this is a song about
connection all kinds of
connection special connection
disconnection objection to any
connection you need groovy
connection Rainbow
Connection love
connection Soul
connection rice
connection Beauty
connection oh I am
connection sa
[Music]
connection connection
[Music]
you need India
connection wonderful rup connection very
necessary not connection why not Visa
connection
definitely connection
[Music]
[Music]
connection you need God connection God
connection your mama connection your
mama connection Hallelujah connection
Hallelujah connection har Krishna
connection har Krishna connection godess
connection
goddess connection space connection
space connection Sho connection sh
Shambo connection Shanty connection
Shanty
[Music]
connection connection
[Music]
to
to
[Music]
connection
[Music]
connection B
the but
[Music]",joy
TRAAAEA128F935A30D,Jonathan King,I'll Slap Your Face (Entertainment USA Theme),"from this gorgeous white and rapid
supply
Erman your everyday sheepskin this which
is or was wolf
some fantastic raincoats with beautiful
line in very soft leathers some raccoon
coats of every kind of variety this
which is a possum the possum when if
they have skunky coats Norwegian white
fox and suspect is from they have
lawsuits a visa everything up minks the
lot various assorted other foxes this
one is the Samantha Fox an even Bobcat
very fashionable and possibly the nicest
in the store mix
this is only me
go home
but prints thousand dollars shall we get
to go we'll be getting them in this
course that's the most amusing and
interesting thing at the store all the
various fur hands Davy Crockett very
they even have omen bikinis which by
producer insisted I try on and I refused
is bigger than",neutral
TRAAAED128E0783FAB,Jamie Cullum,It's About Time,"Walking down to the water's edge
Where I have been before
If I don't gind my love sometime
I'm walking out that door
Some may come and some may go
But no-one seems to be

The person I've been searching for

The one whose meant for me

Biding my time, trying to find a heart that's lonely

Looking for her, my love my one and only

Maybe I'll dream, tonight about the girl who'll be coming my way

So I'll take this chance and celebrate the day

When I'm making my way through an open door

I've got some love and so much more

And I?m ready to make someone mine

Making my way through an open door

I've got some love and so much more

And I'll find her, 'cos it's about time

You try too hard and it feels just like

You're running on thin air

Why does luck happen by suprise

If you don't really care

The past is gone the flames are out

From fires that have burned

New ideals and different thoughts

From lessons I have learned

Biding my time, trying to find a heart that's lonely

Looking for her, my love my one and only

Maybe I'll dream, tonight about the girl who'll be coming my way

So I'll take this chance and celebrate the day

When I'm making my way through an open door

I've got some love and so much more

And I?m ready to make someone mine

Making my way through an open door

I've got some love and so much more

And I'll find her, 'cos it's about time

Got the feeling this could take a pretty long while

To find that smile

Put my faith in another piece of good advice

Well I tried that twice

Waiting for, a little something more

To inspire, take me higher 

And I?m ready to make someone mine

Making my way through an open door

I've got some love and so much more

And I'll find her, 'cos it's about time

It's about time",sadness
TRAAAEF128F4273421,Adam Ant,Something Girls,"Every girl is a something girlEvery girl is a something girlEvery girl is a something girlShe's got somethingEvery girl is a something girlEvery girl has a somehing smileEvery girl is a something girlFor a whileIf I had three wishes I know mineI would not ask the stars to shineI wouldn't ask for gems or pearlsI'd ask for the something girlsEvery girl is a something girlFrom the whites of her eyesTo the tip of a curlEvery girl sends a something boyWith that somethingWhen this old world won't treat you rightYou're not feeling yourself tonightThink of someone you can doRelax and let that something throughEvery girl is a something girlShe's got she's got something",neutral
TRAAAEM128F93347B9,Son Kite,Game & Watch,"[Applause]
[Music]
[Applause]
[Music]
oh",neutral
